algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-sex-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,race-sex-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,race-sex-accuracyDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-sex-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,race-sex-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,race-sex-TPRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-sex-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,race-sex-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,race-sex-TNRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-sex-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,race-sex-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,race-sex-FPRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-sex-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,race-sex-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,race-sex-FNRDiff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-sex-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,race-sex-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,race-sex-calibration+Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-sex-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,race-sex-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,race-sex-calibration-Diff
GoelRegFairness,lam=1,0,0.8023872679045093,0.27823691460055094,0.9685589519650655,0.6233979332828082,0.36712581747454526,0.6417812392885706,0.6417812392885706,0.9657325929965537,0.8677685950413223,0.7917068466730954,0.8297377208572089,1.096073121873144,1.096073121873144,1.0760617483682269,1.0760617483682269,0.9031762295081968,0.7541666666666667,0.8286714480874318,1.1975817407843494,1.1975817407843494,1.1490095628415302,1.1490095628415302,0.8864864864864865,0.746622553074166,0.8165545197803263,None,None,1.0,None,None,1.0,0.27941176470588236,0.27811550151975684,0.2787636331128196,1.004660880745741,1.004660880745741,1.0012962631861255,1.0012962631861255,0.3125,0.272508038585209,0.2925040192926045,1.146755162241888,1.146755162241888,1.039991961414791,1.039991961414791,0.3028391167192429,0.2713656387665198,0.2871023777428814,None,None,1.0,None,None,1.0,0.980309423347398,0.9663995864564487,0.9733545049019234,1.0143934632070293,1.0143934632070293,1.0139098368909494,1.0139098368909494,0.9736238532110092,0.9654442877291961,0.9695340704701026,1.008472332982623,1.008472332982623,1.008179565481813,1.008179565481813,0.975095785440613,0.9630818619582665,0.9690888236994397,None,None,1.0,None,None,1.0,0.019690576652601988,0.033600413543551255,0.02664549509807662,0.5860218543762862,0.5860218543762862,0.9860901631090507,0.9860901631090507,0.026376146788990806,0.034555712270803896,0.03046592952989735,0.7632933907507964,0.7632933907507964,0.9918204345181869,0.9918204345181869,0.02490421455938696,0.036918138041733495,0.030911176300560228,None,None,1.0,None,None,1.0,0.7205882352941176,0.7218844984802432,0.7212363668871804,0.9982043343653251,0.9982043343653251,0.9987037368138745,0.9987037368138745,0.6875,0.727491961414791,0.7074959807073955,0.9450276243093922,0.9450276243093922,0.960008038585209,0.960008038585209,0.6971608832807571,0.7286343612334802,0.7128976222571186,None,None,1.0,None,None,1.0,0.7307692307692307,0.7379032258064516,0.7343362282878412,0.9903320722992853,0.9903320722992853,0.9928660049627791,0.9928660049627791,0.5855855855855856,0.7757437070938215,0.6806646463397035,0.7548699141619496,0.7548699141619496,0.8098418784917641,0.8098418784917641,0.6486486486486487,0.77,0.7093243243243244,None,None,1.0,None,None,1.0,0.12327044025157233,0.20260183407976115,0.16293613716566674,0.608436941410129,0.608436941410129,0.9206686061718112,0.9206686061718112,0.07767517653449213,0.24842163052429317,0.16304840352939265,0.3126747713979611,0.3126747713979611,0.829253546010199,0.829253546010199,0.0979175897208684,0.2562751781840719,0.17709638395247015,None,None,1.0,None,None,1.0
Kamishima,lam=1,0,0.8546087533156499,0.5977961432506887,0.9360262008733624,0.7669111720620256,0.5788787675588632,0.6342728305223985,0.6342728305223985,0.9257965318629823,0.9043683589138135,0.846480231436837,0.8754242951753253,1.0683868628316526,1.0683868628316526,1.0578881274769765,1.0578881274769765,0.9328893442622951,0.817156862745098,0.8750231035036966,1.1416282317307032,1.1416282317307032,1.1157324815171972,1.1157324815171972,0.920997920997921,0.8105872622001654,0.8657925915990432,None,None,1.0,None,None,1.0,0.6029411764705882,0.5972644376899696,0.600102807080279,1.0095045651848524,1.0095045651848524,1.0056767387806187,1.0056767387806187,0.5528846153846154,0.6053054662379421,0.5790950408112787,0.9133976912861376,0.9133976912861376,0.9475791491466733,0.9475791491466733,0.5772870662460567,0.6035242290748899,0.5904056476604733,None,None,1.0,None,None,1.0,0.9620253164556962,0.9312483845955027,0.9466368505255995,1.0330491116755727,1.0330491116755727,1.0307769318601934,1.0307769318601934,0.9782110091743119,0.9100846262341326,0.9441478177042222,1.0748571956677058,1.0748571956677058,1.0681263829401795,1.0681263829401795,0.9731800766283525,0.9048956661316212,0.9390378713799868,None,None,1.0,None,None,1.0,0.03797468354430378,0.06875161540449726,0.05336314947440052,0.552346055010945,0.552346055010945,0.9692230681398065,0.9692230681398065,0.02178899082568808,0.08991537376586745,0.055852182295777764,0.24232775679078972,0.24232775679078972,0.9318736170598206,0.9318736170598206,0.026819923371647514,0.0951043338683788,0.060962128620013156,None,None,1.0,None,None,1.0,0.3970588235294118,0.4027355623100304,0.3998971929197211,0.9859045504994451,0.9859045504994451,0.9943232612193814,0.9943232612193814,0.4471153846153846,0.3946945337620579,0.42090495918872123,1.1328137239542535,1.1328137239542535,1.0524208508533266,1.0524208508533266,0.42271293375394325,0.3964757709251101,0.4095943523395267,None,None,1.0,None,None,1.0,0.7522935779816514,0.747148288973384,0.7497209334775177,1.0068865700212433,1.0068865700212433,1.0051452890082673,1.0051452890082673,0.7516339869281046,0.7470238095238095,0.749328898225957,1.0061713928599327,1.0061713928599327,1.004610177404295,1.004610177404295,0.7656903765690377,0.7429501084598699,0.7543202425144537,None,None,1.0,None,None,1.0,0.07317073170731707,0.12823614807645778,0.10070343989188743,0.5705936493327197,0.5705936493327197,0.9449345836308592,0.9449345836308592,0.05169538632573652,0.15983072916666666,0.1057630577462016,0.32343834377324354,0.32343834377324354,0.8918646571590698,0.8918646571590698,0.061865189289012,0.16635859519408502,0.11411189224154851,None,None,1.0,None,None,1.0
ZafarFairness,lam=1,0,0.8536140583554377,0.6067493112947658,0.9318777292576419,0.7693135202762038,0.578104256039045,0.6656392779238335,0.6656392779238335,0.9306128954765757,0.9020070838252656,0.845708775313404,0.8738579295693348,1.066569379620069,1.066569379620069,1.0562983085118616,1.0562983085118616,0.9293032786885246,0.8174019607843137,0.8733526197364192,1.1368987637328876,1.1368987637328876,1.111901317904211,1.111901317904211,0.9180873180873181,0.8108629721532947,0.8644751451203064,None,None,1.0,None,None,1.0,0.625,0.6048632218844985,0.6149316109422492,1.0332914572864322,1.0332914572864322,1.0201367781155015,1.0201367781155015,0.5144230769230769,0.6221864951768489,0.5683047860499628,0.8267988471476843,0.8267988471476843,0.892236581746228,0.892236581746228,0.5615141955835962,0.6193832599118942,0.5904487277477453,None,None,1.0,None,None,1.0,0.9549929676511955,0.9276298785215819,0.9413114230863886,1.0294978522826623,1.0294978522826623,1.0273630891296137,1.0273630891296137,0.9787844036697247,0.9030324400564175,0.9409084218630711,1.083886204141874,1.083886204141874,1.0757519636133073,1.0757519636133073,0.9722222222222222,0.8980738362760835,0.9351480292491529,None,None,1.0,None,None,1.0,0.04500703234880454,0.07237012147841815,0.058688576913611346,0.6219007434197318,0.6219007434197318,0.9726369108703864,0.9726369108703864,0.021215596330275255,0.09696755994358253,0.05909157813692889,0.21879065888240223,0.21879065888240223,0.9242480363866927,0.9242480363866927,0.02777777777777779,0.1019261637239165,0.06485197075084714,None,None,1.0,None,None,1.0,0.375,0.3951367781155015,0.38506838905775076,0.9490384615384615,0.9490384615384615,0.9798632218844985,0.9798632218844985,0.48557692307692313,0.3778135048231511,0.4316952139500371,1.2852291325695582,1.2852291325695582,1.107763418253772,1.107763418253772,0.43848580441640383,0.38061674008810575,0.4095512722522548,None,None,1.0,None,None,1.0,0.7264957264957265,0.7397769516728625,0.7331363390842944,0.9820469870721126,0.9820469870721126,0.986718774822864,0.986718774822864,0.7430555555555556,0.7378455672068637,0.7404505613812096,1.0070610824002297,1.0070610824002297,1.005209988348692,1.005209988348692,0.7542372881355932,0.7345872518286312,0.7444122699821122,None,None,1.0,None,None,1.0,0.06986301369863014,0.12655147237770747,0.0982072430381688,0.5520521601685986,0.5520521601685986,0.9433115413209227,0.9433115413209227,0.055862831858407076,0.15506433520290333,0.1054635835306552,0.36025583694219543,0.36025583694219543,0.9007984966555037,0.9007984966555037,0.06408483171968649,0.16179775280898875,0.11294129226433762,None,None,1.0,None,None,1.0
